name,train,test,total
Homer Simpson,1898,335,2233
Ned Flanders,1231,217,1448
Moe Szyslak,1229,217,1446
Lisa Simpson,1184,209,1393
Bart Simpson,1128,199,1327
Marge Simpson,1097,194,1291
Krusty The Clown,1032,182,1214
Charles Montgomery Burns,1023,180,1203
Principal Skinner,1010,178,1188
Milhouse Van Houten,890,157,1047
Chief Wiggum,828,146,974
Abraham Grampa Simpson,787,139,926
Sideshow Bob,769,136,905
Apu Nahasapeemapetilon,461,81,542
Kent Brockman,415,73,488
Edna Krabappel,392,69,461
Comic Book Guy,382,67,449
Nelson Muntz,301,53,354
Lenny Leonard,252,44,296
Mayor Quimby,194,34,228
TOTAL,16503,2910,19413
